node,router,role,sent_flits,accepted_flits
16,4,RN_src,0.193667,0
17,4,RN_src,0.189,0
20,5,RN_src,0.201,0
21,5,RN_src,0.206333,0
52,13,RN_src,0.203,0
56,14,RN_src,0.188667,0
60,15,RN_src,0.209,0
64,16,RN_src,0.190333,0
14,3,HN_dst,0,0.108
18,4,HN_dst,0,0.0936667
19,4,HN_dst,0,0.1
22,5,HN_dst,0,0.097
54,13,HN_dst,0,0.0876667
58,14,HN_dst,0,0.0963333
62,15,HN_dst,0,0.106333
66,16,HN_dst,0,0.113
102,25,HN_dst,0,0.0993333
106,26,HN_dst,0,0.1
110,27,HN_dst,0,0.0943333
114,28,HN_dst,0,0.097
150,37,HN_dst,0,0.0983333
154,38,HN_dst,0,0.100333
158,39,HN_dst,0,0.096
162,40,HN_dst,0,0.097
